,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
15793,Cuba,PWRCRUD008,ELC01,2036,2988.3629702557214,2988362.9702557214,0.5846792890864373,1747233.9369813493
15794,Cuba,PWRCRUD008,ELC01,2037,3132.6459148860945,3132645.9148860946,0.5568374181775593,1744374.463309651
15795,Cuba,PWRCRUD008,ELC01,2038,3277.8457188781463,3277845.7188781463,0.5303213506452945,1738311.568842355
15796,Cuba,PWRCRUD008,ELC01,2039,3422.6621982763318,3422662.1982763316,0.5050679529955185,1728676.9902785684
15797,Cuba,PWRCRUD008,ELC01,2040,3488.7382393287266,3488738.2393287267,0.48101709809097,1678142.743880904
15798,Cuba,PWRCRUD008,ELC01,2041,6299.203391931697,6299203.391931698,0.45811152199140004,2885737.6532112197
15799,Cuba,PWRCRUD008,ELC01,2042,6330.457373847739,6330457.373847739,0.4362966876108571,2761957.5832714937
15800,Cuba,PWRCRUD008,ELC01,2043,6449.361967706096,6449361.967706096,0.415520654867483,2679843.108298676
15801,Cuba,PWRCRUD008,ELC01,2044,6704.854071698133,6704854.071698133,0.39573395701665043,2653338.4330123025
15802,Cuba,PWRCRUD008,ELC01,2045,6772.719853383764,6772719.853383764,0.3768894828730004,2552566.8831855096
15803,Cuba,PWRCRUD008,ELC01,2046,6847.619370811106,6847619.370811106,0.35894236464095275,2457900.6891201315
15804,Cuba,PWRCRUD008,ELC01,2047,6984.967728400981,6984967.728400981,0.3418498710866216,2387810.317498088
15805,Cuba,PWRCRUD008,ELC01,2048,7300.667398899229,7300667.398899229,0.3255713057967825,2376887.818247622
15806,Cuba,PWRCRUD008,ELC01,2049,7456.308490142635,7456308.490142634,0.31006791028265,2311961.991961308
15807,Cuba,PWRCRUD008,ELC01,2050,7675.963802524063,7675963.802524063,0.29530277169776187,2266733.3863370474
22560,Cuba,PWRFO,ELC03,2019,3338.512265283473,3338512.265283473,1.3400956406250002,4473925.732879476
22561,Cuba,PWRFO,ELC03,2020,1770.8330572834698,1770833.0572834697,1.2762815625000004,2260081.5812763995
22562,Cuba,PWRFO,ELC03,2021,2922.8422732834692,2922842.273283469,1.2155062500000002,3552733.0509402654
22563,Cuba,PWRFO,ELC03,2022,2471.838665283474,2471838.6652834737,1.1576250000000001,2861462.2348987814
22564,Cuba,PWRFO,ELC03,2023,2464.715608299473,2464715.608299473,1.1025,2717348.958150169
22565,Cuba,PWRFO,ELC03,2024,3233.932761987472,3233932.761987472,1.05,3395629.4000868457
22566,Cuba,PWRFO,ELC03,2025,1596.144148747524,1596144.148747524,1.0,1596144.148747524
22567,Cuba,PWRFO,ELC03,2026,249.83158072342596,249831.58072342596,0.9523809523809523,237934.8387842152
22568,Cuba,PWRFO,ELC03,2027,96.00410194206471,96004.1019420647,0.9070294784580498,87078.5505143444
22569,Cuba,PWRFO,ELC03,2028,11.42482261924916,11424.82261924916,0.863837598531476,9869.191335060283
22582,Cuba,PWRFO,ELC03,2041,6.389769643675818,6389.769643675818,0.45811152199140004,2927.227096638775
22583,Cuba,PWRFO,ELC03,2042,12.463700059648,12463.700059648,0.4362966876108571,5437.871051399664
22584,Cuba,PWRFO,ELC03,2043,30.146073251987122,30146.073251987124,0.415520654867483,12526.316099348804
22585,Cuba,PWRFO,ELC03,2044,45.47793548379558,45477.935483795576,0.39573395701665043,17997.16336595036
22586,Cuba,PWRFO,ELC03,2045,61.53993964552091,61539.93964552091,0.3768894828730004,23193.75602903603
22587,Cuba,PWRFO,ELC03,2046,81.53602039214489,81536.02039214488,0.35894236464095275,29266.73196296943
22588,Cuba,PWRFO,ELC03,2047,115.68904843849268,115689.04843849268,0.3418498710866216,39548.28629483265
22589,Cuba,PWRFO,ELC03,2048,13.147527350605923,13147.527350605924,0.3255713057967825,4280.457647535683
22590,Cuba,PWRFO,ELC03,2049,34.273350597095934,34273.35059709594,0.31006791028265,10627.066198026152
22591,Cuba,PWRFO,ELC03,2050,59.966101749877254,59966.101749877256,0.29530277169776187,17708.156054648764
17792,Cuba,PWRGHFO2,ELC01,2019,4578.012623807994,4578012.623807994,1.3400956406250002,6134974.759891312
17793,Cuba,PWRGHFO2,ELC01,2020,4578.012623807995,4578012.623807995,1.2762815625000004,5842833.104658394
17794,Cuba,PWRGHFO2,ELC01,2021,4578.012623807994,4578012.623807994,1.2155062500000002,5564602.956817516
17795,Cuba,PWRGHFO2,ELC01,2022,4578.012623807994,4578012.623807994,1.1576250000000001,5299621.863635729
17796,Cuba,PWRGHFO2,ELC01,2023,4578.012623807992,4578012.623807992,1.1025,5047258.917748312
17797,Cuba,PWRGHFO2,ELC01,2024,4578.012623807992,4578012.623807992,1.05,4806913.2549983915
24512,Cuba,PWRHYD02,ELC01,2019,188.34150671999987,188341.50671999986,1.3400956406250002,252395.632104216
24513,Cuba,PWRHYD02,ELC01,2020,188.34150671999978,188341.50671999977,1.2762815625000004,240376.79248020562
24514,Cuba,PWRHYD02,ELC01,2021,188.34150671999978,188341.50671999977,1.2155062500000002,228930.27855257675
24515,Cuba,PWRHYD02,ELC01,2022,188.34150671999984,188341.50671999983,1.1576250000000001,218028.83671673984
24516,Cuba,PWRHYD02,ELC01,2023,188.34150671999984,188341.50671999983,1.1025,207646.5111587998
24517,Cuba,PWRHYD02,ELC01,2024,188.3415067199999,188341.5067199999,1.05,197758.5820559999
24518,Cuba,PWRHYD02,ELC01,2025,404.5736132679823,404573.6132679823,1.0,404573.6132679823
24519,Cuba,PWRHYD02,ELC01,2026,404.57361326798474,404573.61326798477,0.9523809523809523,385308.20311236643
